ScheduleID,PersonID,ShiftID
SCH000001,N007805,SHF00011
SCH000002,N003782,SHF00009
SCH000003,N010117,SHF00009
SCH000004,N008300,SHF00007
SCH000005,N010294,SHF00017
SCH000006,N012683,SHF00014
SCH000007,N002907,SHF00004
SCH000008,N002111,SHF00001
SCH000009,N009334,SHF00019
SCH000010,N004309,SHF00010
SCH000011,N011781,SHF00012
SCH000012,N003771,SHF00014
SCH000013,N008848,SHF00017
SCH000014,N000511,SHF00001
SCH000015,N005743,SHF00011
SCH000016,N005264,SHF00014
SCH000017,N001408,SHF00005
SCH000018,N010020,SHF00017
SCH000019,N003096,SHF00015
SCH000020,N008759,SHF00003
SCH000021,N001414,SHF00015
SCH000022,N001763,SHF00014
SCH000023,N009756,SHF00014
SCH000024,N005416,SHF00013
SCH000025,N005807,SHF00012
SCH000026,N011694,SHF00019
SCH000027,N000915,SHF00012
SCH000028,N009646,SHF00020
SCH000029,N000273,SHF00015
SCH000030,N007373,SHF00010
SCH000031,N009307,SHF00014
SCH000032,N008648,SHF00008
SCH000033,N002530,SHF00001
SCH000034,N008770,SHF00018
SCH000035,N007868,SHF00011
SCH000036,N006600,SHF00020
SCH000037,N008241,SHF00005
SCH000038,N004358,SHF00007
SCH000039,N002141,SHF00006
SCH000040,N001650,SHF00002
SCH000041,N011711,SHF00008
SCH000042,N010632,SHF00003
SCH000043,N005375,SHF00020
SCH000044,N001746,SHF00015
SCH000045,N003231,SHF00018
SCH000046,N008780,SHF00021
SCH000047,N010261,SHF00013
SCH000048,N007602,SHF00009
SCH000049,N012147,SHF00007
SCH000050,N006422,SHF00004
SCH000051,N009794,SHF00020
SCH000052,N001524,SHF00018
SCH000053,N000824,SHF00001
SCH000054,N005076,SHF00002
SCH000055,N003221,SHF00008
SCH000056,N004627,SHF00006
SCH000057,N002700,SHF00006
SCH000058,N011148,SHF00009
SCH000059,N004168,SHF00017
SCH000060,N011781,SHF00005
SCH000061,N003973,SHF00013
SCH000062,N001632,SHF00017
SCH000063,N012361,SHF00009
SCH000064,N012404,SHF00007
SCH000065,N009231,SHF00014
SCH000066,N008017,SHF00014
SCH000067,N003960,SHF00010
SCH000068,N002480,SHF00020
SCH000069,N012576,SHF00010
SCH000070,N007463,SHF00008
SCH000071,N004570,SHF00004
SCH000072,N011845,SHF00006
SCH000073,N007175,SHF00011
SCH000074,N006017,SHF00018
SCH000075,N011554,SHF00021
SCH000076,N012973,SHF00008
SCH000077,N007775,SHF00012
SCH000078,N000604,SHF00003
SCH000079,N004964,SHF00009
SCH000080,N011917,SHF00005
SCH000081,N009938,SHF00005
SCH000082,N010240,SHF00017
SCH000083,N002701,SHF00012
SCH000084,N005280,SHF00008
SCH000085,N004820,SHF00009
SCH000086,N002921,SHF00003
SCH000087,N009725,SHF00013
SCH000088,N009514,SHF00004
SCH000089,N008393,SHF00003
SCH000090,N008687,SHF00014
SCH000091,N006638,SHF00003
SCH000092,N002250,SHF00010
SCH000093,N004793,SHF00018
SCH000094,N007582,SHF00021
SCH000095,N006928,SHF00014
SCH000096,N005721,SHF00019
SCH000097,N012513,SHF00012
SCH000098,N003565,SHF00019
SCH000099,N008693,SHF00008
SCH000100,N004911,SHF00018
SCH000101,N010619,SHF00008
SCH000102,N002352,SHF00001
SCH000103,N010036,SHF00017
SCH000104,N008238,SHF00013
SCH000105,N005864,SHF00002
SCH000106,N001762,SHF00011
SCH000107,N001024,SHF00002
SCH000108,N008802,SHF00020
SCH000109,N001193,SHF00014
SCH000110,N000155,SHF00001
SCH000111,N010832,SHF00008
SCH000112,N005622,SHF00015
SCH000113,N002262,SHF00001
SCH000114,N008174,SHF00004
SCH000115,N008304,SHF00017
SCH000116,N005002,SHF00001
SCH000117,N004663,SHF00016
SCH000118,N007595,SHF00007
SCH000119,N001772,SHF00010
SCH000120,N010968,SHF00017
SCH000121,N006792,SHF00008
SCH000122,N003422,SHF00002
SCH000123,N002825,SHF00003
SCH000124,N010148,SHF00018
SCH000125,N002101,SHF00016
SCH000126,N007910,SHF00009
SCH000127,N006742,SHF00015
SCH000128,N009840,SHF00015
SCH000129,N011605,SHF00001
SCH000130,N007671,SHF00002
SCH000131,N008774,SHF00011
SCH000132,N012725,SHF00019
SCH000133,N006299,SHF00010
SCH000134,N001608,SHF00004
SCH000135,N004971,SHF00001
SCH000136,N007172,SHF00011
SCH000137,N005645,SHF00012
